Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.9764155033382468,0.09006499535747446,0.47317073170731705,0.15132605304212168,0.8964282129593782
XGBoost,0.9965533685944681,0.7613636363636364,0.32682926829268294,0.45733788395904434,0.8887778962053778
Random Forest,0.9846093817740397,0.12030075187969924,0.3902439024390244,0.1839080459770115,0.8667680470651462
Logistic Regression,0.7777247897338073,0.01543061047352686,0.7804878048780488,0.030262909022129754,0.8508998107813726
Decision Tree,0.9575782537067545,0.0461139896373057,0.43414634146341463,0.08337236533957845,0.75242306587283
